persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,meatboy,10,Stuck,1,0,-1.35,0.063,"[(73.0, 653.0), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3), (66.2, 659.0), (66.2, 659.9), (66.2, 659.3)]",0,0,5.02
speedrunner,meatboy,10,Stuck,62,0,14.25,0.106,"[(73.0, 653.0), (41.0, 649.3), (123.4, 630.6), (201.8, 637.7), (266.6, 657.2), (268.6, 650.1), (265.8, 659.0), (236.9, 642.0), (210.5, 649.1), (140.2, 652.7), (60.2, 652.7), (103.0, 638.2), (163.9, 640.6), (214.5, 659.0), (193.6, 649.6), (115.1, 659.0), (41.0, 651.3), (113.2, 630.9), (192.2, 635.6), (262.2, 659.2), (269.1, 649.8), (267.2, 659.3), (240.4, 642.5), (214.8, 647.2), (150.2, 654.0), (70.2, 651.7), (92.7, 639.2), (156.8, 639.3), (210.5, 658.1), (200.9, 649.7), (125.1, 656.8), (45.1, 659.0), (103.0, 631.6), (182.7, 634.0), (255.8, 655.2), (269.7, 650.0), (267.2, 657.0), (244.0, 643.2), (217.7, 645.6), (160.2, 655.6), (80.2, 650.9), (82.3, 640.6)]",0,0,5.52
speedrunner,meatboy,10,Stuck,0,0,32.41,0.232,"[(73.0, 653.0), (120.3, 659.3), (200.3, 659.0), (244.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9), (245.3, 659.3), (245.3, 659.0), (245.3, 659.9)]",0,0,5.32
speedrunner,meatboy,10,Stuck,1,0,145.7,0.961,"[(73.0, 653.0), (120.3, 659.3), (200.3, 659.0), (280.3, 659.9), (360.3, 659.3), (440.3, 659.0), (520.3, 659.9), (600.3, 659.3), (680.3, 659.0), (760.3, 659.9), (840.3, 659.3), (920.3, 659.0), (1000.3, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9)]",0,0,6.43
speedrunner,meatboy,10,Stuck,1,0,-5.58,0.039,"[(73.0, 653.0), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3)]",0,0,5.02
speedrunner,meatboy,10,Stuck,1,0,145.58,0.961,"[(73.0, 653.0), (118.7, 659.3), (197.3, 659.0), (276.3, 659.9), (356.3, 659.3), (436.3, 659.0), (515.3, 659.9), (592.3, 659.3), (670.3, 659.0), (750.3, 659.9), (830.3, 659.3), (899.0, 659.0), (946.8, 659.9), (975.0, 659.3), (996.8, 653.3), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9)]",0,0,6.47
speedrunner,meatboy,10,Stuck,1,0,59.05,0.906,"[(73.0, 653.0), (95.3, 659.3), (116.0, 659.0), (132.3, 659.9), (148.4, 659.3), (165.3, 659.0), (183.3, 659.9), (196.8, 659.3), (206.8, 659.0), (215.0, 659.9), (222.6, 659.3), (229.0, 659.0), (236.8, 659.9), (243.9, 659.3), (253.2, 659.0), (260.1, 659.9), (269.6, 659.3), (279.0, 659.0), (288.4, 659.9), (297.9, 659.3), (307.3, 659.0), (316.8, 659.9), (326.2, 659.3), (335.7, 659.0), (345.1, 659.9), (354.6, 659.3), (364.0, 659.0), (373.4, 659.9), (382.9, 659.3), (392.3, 659.0), (401.8, 659.9), (411.2, 659.3), (420.7, 659.0), (430.1, 659.9), (439.6, 659.3), (449.0, 659.0), (458.4, 659.9), (467.9, 659.3), (480.2, 659.0), (500.4, 659.9), (517.5, 659.3), (537.9, 659.0), (558.5, 659.9), (575.9, 659.3), (589.9, 659.0), (605.8, 659.9), (619.8, 659.3), (632.9, 659.0), (648.3, 659.9), (652.7, 659.3), (659.1, 659.0), (665.6, 659.9), (672.0, 659.3), (678.4, 659.0), (684.9, 659.9), (691.3, 659.3), (697.8, 659.0), (706.9, 659.9), (715.1, 659.3), (724.5, 659.0), (733.9, 659.9), (743.4, 659.3), (752.8, 659.0), (762.3, 659.9), (771.7, 659.3), (781.2, 659.0), (790.6, 659.9), (800.1, 659.3), (809.5, 659.0), (825.4, 659.9), (840.9, 659.3), (856.6, 659.0), (872.4, 659.9), (882.9, 659.3), (889.8, 659.0), (896.7, 659.9), (903.6, 659.3), (910.5, 659.0), (917.4, 659.9), (924.3, 659.3), (931.2, 659.0), (938.1, 659.9), (944.9, 659.3), (951.8, 659.0), (958.7, 659.9), (965.6, 659.3), (972.5, 659.0), (979.4, 659.9), (986.3, 659.3), (993.2, 659.0), (1000.1, 659.9), (1006.9, 659.3), (1013.8, 659.0), (1012.2, 659.9), (1009.3, 659.3), (1006.4, 659.0), (1003.6, 659.9), (1000.7, 659.3), (997.8, 659.0), (994.9, 659.9), (992.0, 659.3), (989.1, 659.0), (986.2, 659.9), (983.3, 659.3), (980.4, 659.0), (977.6, 659.9), (974.7, 659.3), (971.8, 659.0), (968.9, 659.9), (966.0, 659.3), (963.1, 659.0), (960.2, 659.9), (957.3, 659.3)]",0,0,14.98
speedrunner,meatboy,10,Stuck,2,0,117.07,0.961,"[(73.0, 653.0), (120.3, 644.1), (200.3, 623.9), (280.3, 644.0), (354.0, 659.3), (406.7, 659.0), (439.8, 659.9), (466.4, 659.3), (493.2, 659.0), (523.4, 659.9), (556.9, 659.3), (584.1, 659.0), (608.0, 659.9), (632.1, 659.3), (656.2, 659.0), (677.2, 659.9), (695.1, 659.3), (716.3, 659.0), (744.2, 659.9), (772.2, 659.3), (800.3, 659.0), (831.8, 659.9), (866.7, 659.3), (901.7, 659.0), (936.8, 659.9), (968.7, 659.3), (990.9, 659.0), (1005.9, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9)]",0,0,8.05
speedrunner,meatboy,10,Stuck,1,0,137.43,0.93,"[(73.0, 653.0), (74.3, 659.3), (130.3, 659.0), (210.3, 659.9), (290.3, 659.3), (370.3, 659.0), (450.3, 659.9), (530.3, 659.3), (609.3, 659.0), (652.3, 659.9), (727.3, 659.3), (807.3, 659.0), (887.3, 659.9), (961.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3), (982.3, 659.0), (982.3, 659.9), (982.3, 659.3)]",0,0,6.62
speedrunner,meatboy,10,Stuck,7,0,145.01,0.961,"[(73.0, 653.0), (110.3, 659.3), (190.3, 643.4), (270.3, 648.1), (350.3, 647.2), (430.3, 642.5), (510.3, 656.6), (590.3, 649.4), (670.3, 642.3), (750.3, 654.1), (830.3, 643.2), (910.3, 645.6), (983.0, 649.8), (983.0, 642.8), (983.0, 654.6), (1015.0, 654.8), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9)]",0,0,6.45
