persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,meatboy,1,Stuck,1,0,32.63,0.55,"[(137.0, 749.0), (96.9, 755.3), (90.7, 755.0), (154.0, 755.9), (226.0, 755.3), (264.7, 755.0), (293.0, 755.9), (315.7, 755.3), (332.7, 755.0), (339.0, 755.9), (343.7, 755.3), (347.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3), (352.3, 755.0), (352.3, 755.9), (352.3, 755.3)]",0,0,6.6
speedrunner,meatboy,1,Stuck,0,0,-11.43,0.114,"[(137.0, 749.0), (89.7, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3)]",0,0,5.02
speedrunner,meatboy,1,Stuck,1,0,-11.43,0.114,"[(137.0, 749.0), (89.7, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3)]",0,0,5.02
speedrunner,meatboy,1,Stuck,0,0,0.0,0.214,"[(137.0, 749.0), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3)]",0,0,5.02
speedrunner,meatboy,1,Stuck,1,0,77.46,0.886,"[(137.0, 749.0), (141.0, 755.3), (204.3, 755.0), (284.3, 755.9), (364.3, 755.3), (444.3, 755.0), (524.3, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0)]",0,0,5.52
speedrunner,meatboy,1,Stuck,1,0,78.89,0.886,"[(137.0, 749.0), (184.3, 755.3), (264.3, 755.0), (344.3, 755.9), (424.3, 755.3), (504.3, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3)]",0,0,5.42
speedrunner,meatboy,1,Stuck,0,0,0.0,0.214,"[(137.0, 749.0), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3), (137.0, 755.0), (137.0, 755.9), (137.0, 755.3)]",0,0,5.02
speedrunner,meatboy,1,Stuck,0,0,78.89,0.886,"[(137.0, 749.0), (184.3, 755.3), (264.3, 755.0), (344.3, 755.9), (424.3, 755.3), (504.3, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3), (567.0, 755.0), (567.0, 755.9), (567.0, 755.3)]",0,0,5.42
speedrunner,meatboy,1,Stuck,0,0,42.76,0.577,"[(137.0, 749.0), (184.3, 755.3), (264.3, 755.0), (341.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3), (369.3, 755.0), (369.3, 755.9), (369.3, 755.3)]",0,0,5.43
speedrunner,meatboy,1,Stuck,1,0,34.29,0.499,"[(137.0, 749.0), (184.3, 755.3), (264.3, 755.0), (316.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9), (319.3, 755.3), (319.3, 755.0), (319.3, 755.9)]",0,0,5.32
