persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,mario,Mario1-2,Success,8,0,313.16,0.947,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (179.1, 314.5), (207.2, 260.9), (232.9, 228.5), (265.6, 219.2), (302.2, 240.0), (335.9, 187.5), (366.1, 135.9), (392.4, 105.7), (423.8, 98.7), (462.8, 123.1), (505.7, 182.9), (555.6, 256.2), (608.4, 329.5), (625.9, 274.6), (635.5, 223.6), (653.2, 194.1), (679.0, 187.9), (712.9, 213.1), (752.0, 273.6), (752.0, 346.9), (752.0, 322.6), (752.0, 266.4), (753.3, 231.5), (761.9, 219.7), (778.5, 236.4), (803.0, 178.6), (830.7, 127.6), (858.8, 98.1), (892.1, 91.9), (932.3, 117.1), (975.5, 177.6), (1026.3, 171.0), (1075.5, 112.3), (1120.4, 80.4), (1169.3, 103.2), (1222.7, 161.6), (1264.1, 234.9), (1264.1, 308.3), (1270.1, 358.3), (1286.8, 304.3), (1311.5, 325.3), (1344.8, 358.3), (1381.9, 304.3), (1421.4, 325.3), (1469.3, 358.3), (1520.4, 304.3), (1569.9, 325.3), (1619.6, 340.1), (1666.0, 313.8), (1708.0, 311.2), (1712.4, 341.2), (1718.4, 368.0), (1754.8, 368.0), (1808.2, 368.3), (1861.4, 306.6), (1914.8, 317.0), (1968.0, 350.3), (2021.4, 318.2), (2072.8, 309.2), (2121.7, 330.3), (2174.8, 348.9), (2225.7, 305.1), (2277.9, 330.4), (2331.2, 348.9), (2381.4, 305.1), (2429.2, 330.4), (2482.1, 348.9), (2532.9, 305.1), (2586.1, 330.4), (2638.8, 347.9), (2687.4, 321.6), (2734.5, 319.0), (2787.4, 349.0), (2840.0, 322.6), (2888.6, 272.0), (2935.7, 289.5), (2988.6, 342.5), (3041.2, 322.6), (3089.8, 266.4), (3138.1, 231.3), (3191.4, 219.1), (3244.7, 235.5), (3298.0, 252.0), (3348.8, 188.2), (3402.0, 144.9), (3455.4, 124.1), (3508.7, 128.3), (3562.0, 166.9), (3615.4, 236.2), (3668.7, 304.0), (3720.1, 235.1), (3771.9, 186.6), (3825.3, 160.0), (3878.5, 157.1), (3931.9, 186.8), (3985.2, 250.8), (4038.5, 324.1), (4091.6, 339.8), (4141.4, 278.6), (4188.0, 237.9), (4232.2, 220.0), (4280.3, 228.1), (4333.2, 203.0), (4382.3, 144.3), (4430.2, 106.4), (4483.2, 91.4), (4536.5, 103.5), (4589.9, 151.0), (4643.2, 223.4), (4695.5, 186.5), (4743.6, 132.9), (4792.6, 100.5), (4846.0, 91.2), (4899.3, 112.0), (4952.6, 168.4), (5006.0, 218.3), (5056.8, 152.0), (5105.4, 106.0), (5158.4, 82.3), (5211.7, 90.5), (5265.1, 135.6), (5318.4, 207.4)]",0,0,16.78
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Enemy,13,2,136.24,0.303,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 315.4), (220.9, 265.3), (269.0, 237.1), (322.2, 232.2), (372.2, 240.4), (393.3, 240.4), (403.2, 240.4), (414.7, 240.4), (425.6, 240.4), (436.1, 240.4), (445.9, 240.4), (453.2, 240.4), (454.7, 240.4), (456.2, 240.4), (457.7, 240.4), (459.2, 240.4), (460.8, 240.4), (462.3, 240.4), (463.8, 240.4), (465.3, 240.4), (466.8, 240.4), (468.3, 240.4), (469.8, 240.4), (471.3, 240.4), (472.8, 240.4), (474.4, 240.4), (475.9, 240.4), (477.4, 240.4), (478.9, 240.4), (480.4, 240.4), (481.9, 240.4), (483.4, 240.4), (484.9, 240.4), (486.4, 240.4), (488.0, 240.4), (489.5, 240.4), (491.0, 240.4), (492.5, 240.4), (494.0, 240.4), (495.5, 240.4), (499.4, 247.4), (511.7, 288.0), (532.1, 358.3), (562.9, 315.4), (602.5, 265.4), (650.3, 238.6), (703.5, 235.4), (752.0, 264.9), (752.0, 328.7), (752.1, 340.1), (752.1, 281.4), (752.1, 245.9), (757.7, 233.5), (772.1, 220.9), (796.9, 157.4), (829.7, 116.4), (870.7, 98.3), (919.7, 106.3), (973.1, 149.2), (1026.4, 220.3), (1079.7, 252.9), (1133.1, 189.5), (1186.4, 146.5), (1239.7, 126.1), (1293.1, 130.6), (1346.4, 169.6), (1399.7, 116.5), (1453.1, 81.1), (1506.4, 107.4), (1559.7, 168.8), (1613.1, 242.1), (1648.4, 315.4), (1655.7, 349.0), (1673.4, 305.1), (1699.2, 330.9), (1712.0, 325.1), (1712.0, 304.5), (1712.0, 309.0), (1712.0, 347.9), (1719.1, 368.0), (1718.7, 368.0), (1718.3, 368.0), (1717.9, 368.0), (1717.5, 368.0), (1717.1, 368.0)]",0,0,11.83
speedrunner,mario,Mario1-2,Enemy,1,3,285.22,0.292,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.0, 333.5), (752.4, 331.0), (752.0, 272.3), (752.4, 234.4), (759.0, 219.4), (773.6, 231.5), (798.6, 186.5), (832.5, 132.9), (874.5, 100.5), (924.5, 91.3), (977.8, 112.1), (1031.2, 168.5), (1084.5, 241.8), (1137.8, 294.3), (1191.2, 228.0), (1244.5, 182.0), (1297.8, 158.3), (1351.2, 158.9), (1404.5, 147.8), (1457.8, 86.6), (1511.2, 89.8), (1564.5, 133.9), (1617.8, 205.4), (1648.0, 278.8), (1652.4, 352.1)]",0,0,5.4
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Enemy,0,0,289.09,0.082,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (186.7, 368.0), (240.0, 368.0), (293.4, 368.0), (346.7, 368.0), (400.0, 368.0), (453.4, 368.0)]",0,0,1.25
speedrunner,mario,Mario1-2,Enemy,3,0,159.84,0.074,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (178.7, 314.5), (205.3, 260.9), (227.7, 228.5), (254.0, 219.2), (287.3, 240.0), (303.9, 296.4), (306.2, 368.0), (326.2, 348.9), (353.9, 305.1), (377.1, 330.4), (397.5, 368.0)]",0,0,1.97
speedrunner,mario,Mario1-2,Enemy,14,2,135.89,0.303,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 315.4), (220.9, 265.3), (269.0, 237.1), (322.2, 232.2), (372.2, 240.4), (393.3, 240.4), (403.2, 240.4), (411.5, 240.4), (420.3, 240.4), (429.7, 240.4), (437.4, 240.4), (443.6, 240.4), (452.4, 240.4), (452.6, 240.4), (452.6, 240.4), (452.3, 240.4), (452.3, 240.4), (454.3, 240.4), (456.2, 240.4), (458.2, 240.4), (460.1, 240.4), (462.1, 240.4), (464.0, 240.4), (466.0, 240.4), (467.9, 240.4), (469.9, 240.4), (471.9, 240.4), (473.8, 240.4), (475.8, 240.4), (477.7, 240.4), (479.7, 240.4), (481.6, 240.4), (483.6, 240.4), (485.5, 240.4), (487.5, 240.4), (489.5, 240.4), (491.4, 240.4), (493.4, 240.4), (495.3, 240.4), (500.8, 254.2), (514.6, 303.8), (536.5, 368.0), (569.5, 300.7), (610.6, 256.5), (659.7, 235.5), (713.1, 239.4), (752.4, 277.8), (752.4, 347.0), (752.8, 323.2), (752.8, 270.4), (752.8, 240.6), (760.3, 234.2), (777.5, 203.0), (804.3, 145.0), (839.2, 109.7), (882.2, 97.4), (933.1, 113.7), (986.4, 165.5), (1039.7, 238.7), (1093.1, 235.2), (1146.4, 176.8), (1199.7, 139.3), (1253.1, 124.5), (1306.4, 137.0), (1359.7, 167.2), (1413.1, 102.5), (1466.4, 84.4), (1519.7, 119.6), (1573.1, 187.1), (1626.4, 260.4), (1649.3, 333.8), (1659.4, 331.5), (1679.1, 308.3), (1706.9, 342.8), (1712.4, 328.6), (1712.4, 310.9), (1712.4, 319.3), (1712.4, 362.6), (1719.0, 368.0), (1718.6, 368.0), (1718.2, 368.0), (1717.8, 368.0), (1717.4, 368.0), (1717.0, 368.0), (1716.6, 368.0)]",0,0,11.83
speedrunner,mario,Mario1-2,Enemy,1,3,273.77,0.299,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.0, 333.5), (752.4, 331.0), (752.1, 272.3), (752.4, 234.4), (759.0, 219.4), (773.6, 231.5), (798.6, 186.5), (832.5, 132.9), (874.5, 100.5), (924.5, 91.3), (977.8, 112.1), (1031.2, 168.5), (1084.5, 241.8), (1137.8, 294.3), (1191.2, 228.0), (1244.5, 182.0), (1297.8, 158.3), (1351.2, 158.9), (1404.5, 147.8), (1457.8, 86.6), (1511.2, 89.8), (1564.5, 133.9), (1617.8, 205.4), (1648.0, 278.8), (1648.7, 352.1), (1653.7, 314.5), (1667.3, 313.6), (1689.0, 356.0)]",0,0,5.78
speedrunner,mario,Mario1-2,Success,8,0,313.16,0.947,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (179.1, 314.5), (207.2, 260.9), (232.9, 228.5), (265.6, 219.2), (302.2, 240.0), (335.9, 187.5), (366.1, 135.9), (392.4, 105.7), (423.8, 98.7), (462.8, 123.1), (505.7, 182.9), (555.6, 256.2), (608.4, 329.5), (625.9, 274.6), (635.5, 223.6), (653.2, 194.1), (679.0, 187.9), (712.9, 213.1), (752.0, 273.6), (752.0, 346.9), (752.0, 322.6), (752.0, 266.4), (753.3, 231.5), (761.9, 219.7), (778.5, 236.4), (803.0, 178.6), (830.7, 127.6), (858.8, 98.1), (892.1, 91.9), (932.3, 117.1), (975.5, 177.6), (1026.3, 171.0), (1075.5, 112.3), (1120.4, 80.4), (1169.3, 103.2), (1222.7, 161.6), (1264.1, 234.9), (1264.1, 308.3), (1270.1, 358.3), (1286.8, 304.3), (1311.5, 325.3), (1344.8, 358.3), (1381.9, 304.3), (1421.4, 325.3), (1469.3, 358.3), (1520.4, 304.3), (1569.9, 325.3), (1619.6, 340.1), (1666.0, 313.8), (1708.0, 311.2), (1712.4, 341.2), (1718.4, 368.0), (1754.8, 368.0), (1808.2, 368.3), (1861.4, 306.6), (1914.8, 317.0), (1968.0, 350.3), (2021.4, 318.2), (2072.8, 309.2), (2121.7, 330.3), (2174.8, 348.9), (2225.7, 305.1), (2277.9, 330.4), (2331.2, 348.9), (2381.4, 305.1), (2429.2, 330.4), (2482.1, 348.9), (2532.9, 305.1), (2586.1, 330.4), (2638.8, 347.9), (2687.4, 321.6), (2734.5, 319.0), (2787.4, 349.0), (2840.0, 322.6), (2888.6, 272.0), (2935.7, 289.5), (2988.6, 342.5), (3041.2, 322.6), (3089.8, 266.4), (3138.1, 231.3), (3191.4, 219.1), (3244.7, 235.5), (3298.0, 252.0), (3348.8, 188.2), (3402.0, 144.9), (3455.4, 124.1), (3508.7, 128.3), (3562.0, 166.9), (3615.4, 236.2), (3668.7, 304.0), (3720.1, 235.1), (3771.9, 186.6), (3825.3, 160.0), (3878.5, 157.1), (3931.9, 186.8), (3985.2, 250.8), (4038.5, 324.1), (4091.6, 339.8), (4141.4, 278.6), (4188.0, 237.9), (4232.2, 220.0), (4280.3, 228.1), (4333.2, 203.0), (4382.3, 144.3), (4430.2, 106.4), (4483.2, 91.4), (4536.5, 103.5), (4589.9, 151.0), (4643.2, 223.4), (4695.5, 186.5), (4743.6, 132.9), (4792.6, 100.5), (4846.0, 91.2), (4899.3, 112.0), (4952.6, 168.4), (5006.0, 218.3), (5056.8, 152.0), (5105.4, 106.0), (5158.4, 82.3), (5211.7, 90.5), (5265.1, 135.6), (5318.4, 207.4)]",0,0,16.78
