persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,meatboy,8,Stuck,0,0,0.0,0.467,"[(329.0, 749.0), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3)]",0,5.02
experienced,meatboy,8,Stuck,1,0,0.0,0.467,"[(329.0, 749.0), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3), (329.0, 755.0), (329.0, 755.9), (329.0, 755.3)]",0,5.02
experienced,meatboy,8,Stuck,16,0,-43.54,0.104,"[(329.0, 749.0), (328.3, 755.3), (324.0, 738.3), (317.1, 745.4), (309.6, 755.3), (303.1, 739.4), (292.3, 744.1), (279.8, 755.0), (265.4, 755.9), (242.6, 755.3), (213.2, 753.4), (203.5, 748.2), (194.9, 738.8), (190.1, 748.2), (185.8, 744.1), (181.2, 739.4), (174.0, 753.5), (166.1, 741.1), (156.9, 741.1), (146.0, 755.3), (134.3, 745.4), (118.1, 738.3), (95.9, 750.1), (73.0, 742.4), (73.0, 740.1), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0)]",0,5.85
experienced,meatboy,8,Stuck,1,0,-49.07,0.104,"[(329.0, 749.0), (303.8, 755.3), (263.8, 755.0), (223.8, 755.9), (183.8, 755.3), (143.8, 755.0), (103.8, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9)]",0,5.2
experienced,meatboy,8,Stuck,0,0,73.52,0.897,"[(329.0, 749.0), (354.2, 755.3), (394.2, 755.0), (434.2, 755.9), (474.2, 755.3), (514.2, 755.0), (554.2, 755.9), (594.2, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3)]",0,5.35
experienced,meatboy,8,Stuck,0,0,31.27,0.705,"[(329.0, 749.0), (353.2, 755.3), (391.6, 755.0), (431.6, 755.9), (471.6, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3), (496.3, 755.0), (496.3, 755.9), (496.3, 755.3)]",0,5.35
experienced,meatboy,8,Stuck,1,0,-49.03,0.104,"[(329.0, 749.0), (303.8, 755.3), (263.8, 755.0), (229.7, 755.9), (225.7, 755.3), (218.8, 755.0), (211.9, 755.9), (205.0, 755.3), (198.1, 755.0), (191.2, 755.9), (181.7, 755.3), (167.2, 755.0), (129.1, 755.9), (89.1, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9)]",0,5.2
experienced,meatboy,8,Stuck,1,0,-49.07,0.104,"[(329.0, 749.0), (303.8, 755.3), (263.8, 755.0), (223.8, 755.9), (183.8, 755.3), (143.8, 755.0), (103.8, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9)]",0,5.2
experienced,meatboy,8,Stuck,1,0,-40.6,0.14,"[(329.0, 749.0), (326.8, 755.3), (318.6, 755.0), (308.8, 755.9), (299.4, 755.3), (286.8, 755.0), (274.4, 755.9), (258.9, 755.3), (227.7, 751.9), (200.6, 755.9), (174.7, 755.3), (138.6, 755.0), (98.6, 755.9), (75.2, 755.3), (97.2, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9), (98.3, 755.3), (98.3, 755.0), (98.3, 755.9)]",0,5.67
experienced,meatboy,8,Stuck,1,0,73.52,0.897,"[(329.0, 749.0), (354.2, 755.3), (394.2, 755.0), (434.2, 755.9), (474.2, 755.3), (514.2, 755.0), (554.2, 755.9), (594.2, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3), (631.0, 755.0), (631.0, 755.9), (631.0, 755.3)]",0,5.35
