persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,mario,Mario1-2,Stuck,1,0,198.12,0.969,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (180.2, 314.5), (219.0, 260.9), (259.0, 228.5), (299.0, 219.2), (339.0, 240.0), (379.0, 171.2), (419.0, 122.7), (459.0, 96.1), (499.0, 93.1), (539.0, 122.8), (579.0, 186.8), (619.0, 260.1), (659.0, 275.8), (699.0, 214.6), (739.0, 173.9), (779.0, 156.0), (819.0, 164.1), (859.0, 207.1), (899.0, 203.0), (939.0, 144.3), (979.0, 106.4), (1019.0, 91.4), (1059.0, 103.5), (1099.0, 151.0), (1139.0, 223.4), (1179.0, 296.8), (1219.0, 340.8), (1259.0, 311.6), (1299.0, 305.7), (1339.0, 331.3), (1379.0, 348.9), (1419.0, 285.1), (1424.4, 241.8), (1424.4, 254.2), (1424.4, 303.8), (1430.9, 368.0), (1448.4, 304.0), (1473.9, 320.9), (1507.4, 368.0), (1547.4, 304.0), (1587.4, 320.9), (1627.4, 358.1), (1667.4, 326.0), (1707.4, 317.0), (1712.4, 338.1), (1716.9, 368.0), (1748.6, 368.3), (1788.6, 368.0), (1828.6, 339.8), (1868.6, 306.5), (1908.6, 335.9), (1948.6, 331.4), (1988.6, 310.8), (2028.6, 315.3), (2068.6, 354.2), (2108.6, 314.5), (2128.8, 260.9), (2128.8, 228.5), (2128.8, 219.2), (2128.8, 240.0), (2128.8, 296.4), (2131.5, 368.0), (2146.0, 304.0), (2168.5, 320.9), (2199.0, 368.0), (2238.6, 304.0), (2278.6, 320.9), (2318.6, 368.0), (2358.6, 304.0), (2398.6, 320.9), (2438.6, 368.0), (2478.6, 304.0), (2518.6, 320.9), (2558.6, 368.0), (2598.6, 299.1), (2638.6, 250.6), (2672.1, 224.0), (2672.1, 221.1), (2672.1, 250.8), (2673.9, 314.8), (2684.1, 348.9), (2704.6, 285.1), (2733.1, 278.8), (2769.6, 318.5), (2809.6, 348.9), (2849.6, 285.1), (2889.6, 278.8), (2929.6, 318.5), (2969.6, 348.9), (3009.6, 285.1), (3049.6, 241.8), (3089.6, 221.0), (3129.6, 225.2), (3169.6, 263.8), (3209.6, 333.1), (3249.6, 331.0), (3280.1, 272.3), (3285.6, 234.4), (3299.1, 219.4), (3320.6, 231.5), (3350.5, 261.4), (3389.8, 195.1), (3429.8, 149.2), (3469.8, 125.4), (3509.8, 126.0), (3549.8, 160.1), (3589.8, 227.0), (3629.8, 300.4), (3664.0, 368.0), (3664.4, 299.1), (3670.9, 250.6), (3685.4, 224.0), (3707.9, 221.1), (3738.4, 250.8), (3776.5, 314.8), (3816.5, 348.9), (3856.5, 285.1), (3859.5, 241.8), (3871.0, 221.0), (3890.5, 225.2), (3918.0, 263.8), (3955.8, 209.8), (3995.8, 158.7), (4035.8, 129.2), (4075.8, 123.0), (4115.8, 148.3), (4155.8, 208.7), (4195.8, 282.0), (4235.8, 316.9), (4242.6, 253.1), (4253.1, 209.8), (4271.6, 189.0), (4298.1, 193.2), (4332.6, 231.8), (4372.5, 186.5), (4412.5, 132.9), (4452.5, 100.5), (4492.5, 91.2), (4532.5, 112.0), (4572.5, 168.4), (4612.5, 241.8), (4624.1, 315.1), (4630.4, 348.9), (4646.9, 305.1), (4671.4, 330.4), (4704.6, 348.9), (4744.6, 305.1), (4784.6, 330.4), (4824.6, 348.9), (4864.6, 285.1), (4904.6, 241.8), (4944.6, 221.0), (4984.6, 202.0), (5024.6, 138.2), (5064.6, 94.9), (5104.6, 82.8), (5144.6, 114.5), (5184.6, 179.9), (5224.6, 253.3), (5264.6, 218.1), (5304.6, 164.5), (5344.6, 132.1), (5384.6, 122.8), (5424.6, 143.7), (5464.6, 200.0), (5488.8, 146.6), (5488.8, 95.6), (5488.8, 84.8), (5488.8, 121.0), (5488.8, 189.1), (5488.0, 153.9), (5488.0, 100.3), (5488.0, 82.8), (5488.0, 114.5), (5488.0, 179.9), (5488.0, 162.0), (5488.0, 105.9), (5488.0, 81.3), (5488.0, 108.6), (5488.0, 170.8), (5488.4, 170.5), (5488.4, 111.8), (5488.4, 80.4), (5488.4, 103.2), (5488.4, 161.6), (5488.4, 179.2), (5488.4, 118.0), (5488.4, 80.0), (5488.4, 98.4), (5488.4, 152.4), (5488.0, 188.3), (5488.0, 124.6), (5488.0, 81.3), (5488.0, 94.2), (5488.0, 143.8), (5488.0, 197.7), (5488.0, 131.4), (5488.0, 85.5), (5488.0, 90.5), (5488.0, 135.6), (5488.0, 207.4), (5488.4, 138.6), (5488.4, 90.1)]",0,27.48
experienced,mario,Mario1-2,Pit,2,0,246.35,0.907,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (180.2, 314.5), (219.0, 260.9), (259.0, 228.5), (299.0, 219.2), (339.0, 240.0), (379.0, 171.2), (419.0, 122.7), (459.0, 96.1), (499.0, 93.1), (539.0, 122.8), (579.0, 186.8), (619.0, 260.1), (659.0, 275.8), (699.0, 214.6), (739.0, 173.9), (779.0, 156.0), (819.0, 164.1), (859.0, 207.1), (899.0, 203.0), (939.0, 144.3), (979.0, 106.4), (1019.0, 91.4), (1059.0, 103.5), (1099.0, 151.0), (1139.0, 223.4), (1179.0, 296.8), (1219.0, 340.8), (1259.0, 311.6), (1299.0, 305.7), (1339.0, 331.3), (1379.0, 348.9), (1419.0, 285.1), (1424.4, 241.8), (1424.4, 254.2), (1424.4, 303.8), (1430.9, 368.0), (1448.4, 304.0), (1473.9, 320.9), (1507.4, 368.0), (1547.4, 304.0), (1587.4, 320.9), (1627.4, 358.1), (1667.4, 326.0), (1707.4, 317.0), (1712.4, 338.1), (1716.9, 368.0), (1748.6, 368.3), (1788.6, 368.0), (1828.6, 339.8), (1868.6, 306.5), (1908.6, 335.9), (1948.6, 331.4), (1988.6, 310.8), (2028.6, 315.3), (2068.6, 354.2), (2108.6, 314.5), (2128.8, 261.0), (2128.8, 229.0), (2128.8, 220.0), (2128.8, 241.2), (2128.7, 297.9), (2131.5, 368.0), (2146.0, 304.0), (2168.5, 320.9), (2199.0, 368.0), (2238.6, 304.0), (2278.6, 320.9), (2318.6, 368.0), (2358.6, 304.0), (2398.6, 320.9), (2438.6, 368.0), (2478.6, 304.0), (2518.6, 320.9), (2558.6, 368.0), (2598.6, 299.1), (2638.6, 250.6), (2671.9, 224.0), (2672.8, 221.1), (2672.0, 250.8), (2673.9, 314.8), (2684.1, 348.9), (2704.6, 285.1), (2733.1, 278.8), (2769.6, 318.5), (2809.6, 348.9), (2849.6, 285.1), (2889.6, 278.8), (2929.6, 318.5), (2969.6, 348.9), (3009.6, 285.1), (3049.6, 241.8), (3089.6, 221.0), (3129.6, 225.2), (3169.6, 263.8), (3209.6, 333.1), (3249.6, 331.0), (3280.1, 272.3), (3285.6, 234.4), (3299.1, 219.4), (3320.6, 231.5), (3350.5, 261.4), (3389.8, 195.1), (3429.8, 149.2), (3469.8, 125.4), (3509.8, 126.0), (3549.8, 160.1), (3589.8, 227.0), (3629.8, 300.4), (3664.0, 368.0), (3664.0, 299.1), (3668.5, 250.6), (3681.0, 224.0), (3701.5, 221.1), (3730.0, 250.8), (3766.5, 314.8), (3806.5, 348.9), (3846.5, 285.1), (3886.5, 241.8), (3926.5, 221.0), (3966.5, 225.2), (4006.5, 263.8), (4046.5, 333.1), (4086.5, 331.0), (4126.5, 272.3), (4166.5, 234.4), (4206.5, 219.4), (4246.5, 231.5), (4286.5, 261.4), (4326.5, 195.1), (4366.5, 149.2), (4406.5, 125.4), (4446.5, 126.0), (4486.5, 160.1), (4526.5, 227.0), (4566.5, 220.0), (4606.5, 161.3), (4646.5, 123.4), (4686.5, 108.4), (4726.5, 120.5), (4766.5, 168.0), (4806.5, 240.4), (4846.5, 171.6), (4886.5, 123.1), (4926.5, 96.4), (4966.5, 93.5), (5006.5, 123.2), (5046.5, 187.2), (5086.5, 260.5), (5126.5, 333.9), (5136.0, 407.2)]",0,20.45
experienced,mario,Mario1-2,Enemy,11,0,111.4,0.269,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (180.2, 315.4), (219.0, 265.3), (259.0, 237.1), (299.0, 232.2), (335.7, 240.4), (348.7, 240.4), (359.9, 240.4), (371.4, 240.4), (381.2, 240.4), (393.4, 240.4), (403.9, 240.4), (415.7, 240.4), (426.8, 240.4), (436.2, 240.4), (444.8, 240.4), (452.7, 240.4), (453.6, 240.4), (454.4, 240.4), (455.3, 240.4), (456.2, 240.4), (457.1, 240.4), (458.0, 240.4), (458.9, 240.4), (459.8, 240.4), (460.7, 240.4), (461.6, 240.4), (462.4, 240.4), (463.3, 240.4), (464.2, 240.4), (465.1, 240.4), (466.0, 240.4), (466.9, 240.4), (467.8, 240.4), (468.7, 240.4), (469.6, 240.4), (470.4, 240.4), (471.3, 240.4), (472.2, 240.4), (473.1, 240.4), (474.0, 240.4), (474.9, 240.4), (475.8, 240.4), (476.7, 240.4), (477.6, 240.4), (478.4, 240.4), (479.3, 240.4), (480.2, 240.4), (481.1, 240.4), (482.0, 240.4), (482.9, 240.4), (483.8, 240.4), (484.7, 240.4), (485.6, 240.4), (486.4, 240.4), (487.3, 240.4), (488.2, 240.4), (489.1, 240.4), (490.0, 240.4), (490.9, 240.4), (491.8, 240.4), (492.7, 240.4), (493.6, 240.4), (494.4, 240.4), (495.3, 240.4), (498.1, 247.4), (508.7, 288.0), (527.3, 358.3), (556.2, 315.4), (593.6, 265.4), (633.6, 238.6), (673.6, 235.4), (713.6, 264.9), (753.6, 210.6), (793.6, 161.7), (833.6, 134.6), (873.6, 131.2), (913.6, 160.5), (953.6, 198.3), (993.6, 132.0), (1033.6, 86.0), (1073.6, 90.5), (1113.6, 135.6), (1153.6, 207.4), (1193.6, 280.8), (1233.6, 354.1), (1273.6, 319.1), (1313.6, 307.2), (1353.6, 323.9), (1393.6, 368.0), (1433.6, 304.0), (1473.6, 320.9), (1513.6, 368.0)]",0,12.72
experienced,mario,Mario1-2,Enemy,9,0,208.09,0.262,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (183.6, 368.0), (223.6, 368.0), (263.6, 368.0), (303.6, 315.1), (343.6, 313.6), (383.6, 356.0), (423.6, 315.4), (463.6, 313.6), (503.6, 356.3), (543.6, 321.3), (583.6, 309.4), (623.6, 326.1), (624.0, 358.3), (625.2, 293.2), (633.8, 251.2), (650.2, 232.3), (674.8, 238.5), (707.6, 272.0), (747.6, 272.0), (752.4, 290.4), (752.4, 344.4), (752.8, 322.9), (752.8, 267.6), (752.8, 234.7), (760.2, 225.0), (776.1, 240.0), (812.1, 240.0), (852.1, 240.0), (892.1, 244.8), (932.1, 272.4), (944.1, 211.3), (949.6, 163.6), (963.1, 138.9), (984.6, 138.0), (1014.1, 169.6), (1051.5, 235.0), (1091.5, 304.0), (1131.5, 304.0), (1171.5, 322.4), (1211.5, 368.0), (1251.5, 368.0), (1291.5, 368.0), (1331.5, 368.0), (1371.5, 368.0), (1411.5, 368.0), (1451.5, 368.0), (1486.5, 368.4)]",0,6.67
experienced,mario,Mario1-2,Stuck,1,0,198.12,0.969,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (180.2, 314.5), (219.0, 260.9), (259.0, 228.5), (299.0, 219.2), (339.0, 240.0), (379.0, 171.2), (419.0, 122.7), (459.0, 96.1), (499.0, 93.1), (539.0, 122.8), (579.0, 186.8), (619.0, 260.1), (659.0, 275.8), (699.0, 214.6), (739.0, 173.9), (779.0, 156.0), (819.0, 164.1), (859.0, 207.1), (899.0, 203.0), (939.0, 144.3), (979.0, 106.4), (1019.0, 91.4), (1059.0, 103.5), (1099.0, 151.0), (1139.0, 223.4), (1179.0, 296.8), (1219.0, 340.8), (1259.0, 311.6), (1299.0, 305.7), (1339.0, 331.3), (1379.0, 348.9), (1419.0, 285.1), (1424.4, 241.8), (1424.4, 254.2), (1424.4, 303.8), (1430.9, 368.0), (1448.4, 304.0), (1473.9, 320.9), (1507.4, 368.0), (1547.4, 304.0), (1587.4, 320.9), (1627.4, 358.1), (1667.4, 326.0), (1707.4, 317.0), (1712.4, 338.1), (1716.9, 368.0), (1748.6, 368.3), (1788.6, 368.0), (1828.6, 339.8), (1868.6, 306.5), (1908.6, 335.9), (1948.6, 331.4), (1988.6, 310.8), (2028.6, 315.3), (2068.6, 354.2), (2108.6, 314.5), (2128.8, 260.9), (2128.8, 228.5), (2128.8, 219.2), (2128.8, 240.0), (2128.8, 296.4), (2131.5, 368.0), (2146.0, 304.0), (2168.5, 320.9), (2199.0, 368.0), (2238.6, 304.0), (2278.6, 320.9), (2318.6, 368.0), (2358.6, 304.0), (2398.6, 320.9), (2438.6, 368.0), (2478.6, 304.0), (2518.6, 320.9), (2558.6, 368.0), (2598.6, 299.1), (2638.6, 250.6), (2672.1, 224.0), (2672.1, 221.1), (2672.1, 250.8), (2673.9, 314.8), (2684.1, 348.9), (2704.6, 285.1), (2733.1, 278.8), (2769.6, 318.5), (2809.6, 348.9), (2849.6, 285.1), (2889.6, 278.8), (2929.6, 318.5), (2969.6, 348.9), (3009.6, 285.1), (3049.6, 241.8), (3089.6, 221.0), (3129.6, 225.2), (3169.6, 263.8), (3209.6, 333.1), (3249.6, 331.0), (3280.1, 272.3), (3285.6, 234.4), (3299.1, 219.4), (3320.6, 231.5), (3350.5, 261.4), (3389.8, 195.1), (3429.8, 149.2), (3469.8, 125.4), (3509.8, 126.0), (3549.8, 160.1), (3589.8, 227.0), (3629.8, 300.4), (3664.0, 368.0), (3664.4, 299.1), (3670.9, 250.6), (3685.4, 224.0), (3707.9, 221.1), (3738.4, 250.8), (3776.5, 314.8), (3816.5, 348.9), (3856.5, 285.1), (3859.5, 241.8), (3871.0, 221.0), (3890.5, 225.2), (3918.0, 263.8), (3955.8, 209.8), (3995.8, 158.7), (4035.8, 129.2), (4075.8, 123.0), (4115.8, 148.3), (4155.8, 208.7), (4195.8, 282.0), (4235.8, 316.9), (4242.6, 253.1), (4253.1, 209.8), (4271.6, 189.0), (4298.1, 193.2), (4332.6, 231.8), (4372.5, 186.5), (4412.5, 132.9), (4452.5, 100.5), (4492.5, 91.2), (4532.5, 112.0), (4572.5, 168.4), (4612.5, 241.8), (4624.1, 315.1), (4630.4, 348.9), (4646.9, 305.1), (4671.4, 330.4), (4704.6, 348.9), (4744.6, 305.1), (4784.6, 330.4), (4824.6, 348.9), (4864.6, 285.1), (4904.6, 241.8), (4944.6, 221.0), (4984.6, 202.0), (5024.6, 138.2), (5064.6, 94.9), (5104.6, 82.8), (5144.6, 114.5), (5184.6, 179.9), (5224.6, 253.3), (5264.6, 218.1), (5304.6, 164.5), (5344.6, 132.1), (5384.6, 122.8), (5424.6, 143.7), (5464.6, 200.0), (5488.8, 146.6), (5488.8, 95.6), (5488.8, 84.8), (5488.8, 121.0), (5488.8, 189.1), (5488.0, 153.9), (5488.0, 100.3), (5488.0, 82.8), (5488.0, 114.5), (5488.0, 179.9), (5488.0, 162.0), (5488.0, 105.9), (5488.0, 81.3), (5488.0, 108.6), (5488.0, 170.8), (5488.4, 170.5), (5488.4, 111.8), (5488.4, 80.4), (5488.4, 103.2), (5488.4, 161.6), (5488.4, 179.2), (5488.4, 118.0), (5488.4, 80.0), (5488.4, 98.4), (5488.4, 152.4), (5488.0, 188.3), (5488.0, 124.6), (5488.0, 81.3), (5488.0, 94.2), (5488.0, 143.8), (5488.0, 197.7), (5488.0, 131.4), (5488.0, 85.5), (5488.0, 90.5), (5488.0, 135.6), (5488.0, 207.4), (5488.4, 138.6), (5488.4, 90.1)]",0,27.48
experienced,mario,Mario1-2,Stuck,21,0,30.58,0.053,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (178.0, 314.5), (213.5, 260.9), (253.5, 228.8), (293.4, 219.9), (327.9, 240.0), (338.9, 240.0), (316.8, 230.6), (277.5, 164.3), (237.5, 118.4), (202.0, 94.7), (174.5, 95.2), (155.0, 129.4), (143.5, 196.3), (140.0, 269.6), (144.5, 343.0), (158.9, 322.6), (182.4, 266.4), (213.9, 231.3), (252.7, 219.1), (292.7, 235.5), (303.9, 287.4), (303.4, 360.6), (297.2, 306.9), (286.5, 256.2), (277.5, 227.1), (274.0, 221.2), (278.5, 246.8), (291.0, 307.6), (304.5, 337.6), (310.0, 311.3), (308.2, 308.6), (307.8, 338.6), (305.0, 323.3), (296.0, 305.6), (292.5, 313.9), (292.0, 357.3), (287.0, 314.7), (276.0, 261.5), (267.8, 229.5), (265.2, 220.5), (270.8, 241.7), (284.2, 298.4), (300.5, 368.0)]",0,6.15
experienced,mario,Mario1-2,Enemy,1,0,251.06,0.286,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (180.2, 314.5), (219.0, 260.9), (259.0, 228.5), (299.0, 219.2), (339.0, 240.0), (379.0, 171.2), (419.0, 122.7), (459.0, 96.1), (499.0, 93.1), (539.0, 122.8), (579.0, 186.8), (619.0, 260.1), (659.0, 275.8), (699.0, 214.6), (739.0, 173.9), (779.0, 156.0), (819.0, 164.1), (859.0, 207.1), (899.0, 203.0), (939.0, 144.3), (979.0, 106.4), (1019.0, 91.4), (1059.0, 103.5), (1099.0, 151.0), (1139.0, 223.4), (1179.0, 296.8), (1219.0, 340.8), (1259.0, 311.6), (1299.0, 305.7), (1339.0, 331.3), (1379.0, 348.9), (1419.0, 285.1), (1424.0, 241.8), (1424.0, 254.2), (1424.8, 303.8), (1427.5, 368.0), (1442.0, 304.0), (1464.5, 320.9), (1495.0, 368.0), (1534.6, 304.0), (1574.6, 320.9), (1614.6, 368.0)]",0,6.03
experienced,mario,Mario1-2,Stuck,1,4,133.31,0.347,"[(112.0, 208.0), (116.5, 226.4), (127.8, 280.4), (136.7, 353.8), (147.4, 314.5), (166.7, 260.9), (193.9, 228.5), (229.2, 219.2), (269.2, 240.0), (304.0, 296.4), (308.3, 368.0), (322.2, 304.0), (344.2, 320.9), (374.1, 368.0), (413.6, 304.0), (453.6, 320.9), (493.6, 345.1), (533.6, 315.8), (573.6, 309.9), (613.6, 335.5), (625.9, 266.6), (635.4, 218.1), (652.9, 191.5), (678.4, 188.6), (711.9, 218.3), (751.5, 262.3), (755.5, 196.0), (767.0, 150.0), (786.5, 126.3), (814.0, 126.9), (849.5, 161.0), (889.5, 227.9), (929.5, 243.8), (945.2, 182.6), (953.8, 141.9), (970.2, 124.0), (994.8, 132.1), (1027.2, 175.1), (1066.5, 246.3), (1106.5, 294.3), (1146.5, 228.0), (1186.5, 182.0), (1226.5, 158.3), (1266.5, 158.9), (1306.5, 147.8), (1346.5, 86.6), (1386.5, 89.8), (1426.5, 133.9), (1466.5, 147.8), (1506.5, 86.6), (1546.5, 89.8), (1586.5, 133.9), (1626.5, 205.4), (1648.0, 278.8), (1648.0, 352.1), (1652.5, 317.1), (1665.0, 305.2), (1685.5, 321.9), (1712.0, 368.0), (1712.4, 299.1), (1712.4, 250.6), (1714.6, 224.0), (1725.1, 221.1), (1744.4, 220.9), (1773.9, 157.2), (1811.2, 150.8), (1851.2, 190.5), (1891.2, 220.9), (1931.2, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5), (1968.0, 220.9), (1968.0, 157.1), (1968.0, 150.8), (1968.0, 190.5)]",0,14.2
experienced,mario,Mario1-2,Stuck,1,0,198.12,0.969,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.5, 353.8), (180.2, 314.5), (219.0, 260.9), (259.0, 228.5), (299.0, 219.2), (339.0, 240.0), (379.0, 171.2), (419.0, 122.7), (459.0, 96.1), (499.0, 93.1), (539.0, 122.8), (579.0, 186.8), (619.0, 260.1), (659.0, 275.8), (699.0, 214.6), (739.0, 173.9), (779.0, 156.0), (819.0, 164.1), (859.0, 207.1), (899.0, 203.0), (939.0, 144.3), (979.0, 106.4), (1019.0, 91.4), (1059.0, 103.5), (1099.0, 151.0), (1139.0, 223.4), (1179.0, 296.8), (1219.0, 340.8), (1259.0, 311.6), (1299.0, 305.7), (1339.0, 331.3), (1379.0, 348.9), (1419.0, 285.1), (1424.4, 241.8), (1424.4, 254.2), (1424.4, 303.8), (1430.9, 368.0), (1448.4, 304.0), (1473.9, 320.9), (1507.4, 368.0), (1547.4, 304.0), (1587.4, 320.9), (1627.4, 358.1), (1667.4, 326.0), (1707.4, 317.0), (1712.4, 338.1), (1716.9, 368.0), (1748.6, 368.3), (1788.6, 368.0), (1828.6, 339.8), (1868.6, 306.5), (1908.6, 335.9), (1948.6, 331.4), (1988.6, 310.8), (2028.6, 315.3), (2068.6, 354.2), (2108.6, 314.5), (2128.8, 260.9), (2128.8, 228.5), (2128.8, 219.2), (2128.8, 240.0), (2128.8, 296.4), (2131.5, 368.0), (2146.0, 304.0), (2168.5, 320.9), (2199.0, 368.0), (2238.6, 304.0), (2278.6, 320.9), (2318.6, 368.0), (2358.6, 304.0), (2398.6, 320.9), (2438.6, 368.0), (2478.6, 304.0), (2518.6, 320.9), (2558.6, 368.0), (2598.6, 299.1), (2638.6, 250.6), (2672.1, 224.0), (2672.1, 221.1), (2672.1, 250.8), (2673.9, 314.8), (2684.1, 348.9), (2704.6, 285.1), (2733.1, 278.8), (2769.6, 318.5), (2809.6, 348.9), (2849.6, 285.1), (2889.6, 278.8), (2929.6, 318.5), (2969.6, 348.9), (3009.6, 285.1), (3049.6, 241.8), (3089.6, 221.0), (3129.6, 225.2), (3169.6, 263.8), (3209.6, 333.1), (3249.6, 331.0), (3280.1, 272.3), (3285.6, 234.4), (3299.1, 219.4), (3320.6, 231.5), (3350.5, 261.4), (3389.8, 195.1), (3429.8, 149.2), (3469.8, 125.4), (3509.8, 126.0), (3549.8, 160.1), (3589.8, 227.0), (3629.8, 300.4), (3664.0, 368.0), (3664.4, 299.1), (3670.9, 250.6), (3685.4, 224.0), (3707.9, 221.1), (3738.4, 250.8), (3776.5, 314.8), (3816.5, 348.9), (3856.5, 285.1), (3859.5, 241.8), (3871.0, 221.0), (3890.5, 225.2), (3918.0, 263.8), (3955.8, 209.8), (3995.8, 158.7), (4035.8, 129.2), (4075.8, 123.0), (4115.8, 148.3), (4155.8, 208.7), (4195.8, 282.0), (4235.8, 316.9), (4242.6, 253.1), (4253.1, 209.8), (4271.6, 189.0), (4298.1, 193.2), (4332.6, 231.8), (4372.5, 186.5), (4412.5, 132.9), (4452.5, 100.5), (4492.5, 91.2), (4532.5, 112.0), (4572.5, 168.4), (4612.5, 241.8), (4624.1, 315.1), (4630.4, 348.9), (4646.9, 305.1), (4671.4, 330.4), (4704.6, 348.9), (4744.6, 305.1), (4784.6, 330.4), (4824.6, 348.9), (4864.6, 285.1), (4904.6, 241.8), (4944.6, 221.0), (4984.6, 202.0), (5024.6, 138.2), (5064.6, 94.9), (5104.6, 82.8), (5144.6, 114.5), (5184.6, 179.9), (5224.6, 253.3), (5264.6, 218.1), (5304.6, 164.5), (5344.6, 132.1), (5384.6, 122.8), (5424.6, 143.7), (5464.6, 200.0), (5488.8, 146.6), (5488.8, 95.6), (5488.8, 84.8), (5488.8, 121.0), (5488.8, 189.1), (5488.0, 153.9), (5488.0, 100.3), (5488.0, 82.8), (5488.0, 114.5), (5488.0, 179.9), (5488.0, 162.0), (5488.0, 105.9), (5488.0, 81.3), (5488.0, 108.6), (5488.0, 170.8), (5488.4, 170.5), (5488.4, 111.8), (5488.4, 80.4), (5488.4, 103.2), (5488.4, 161.6), (5488.4, 179.2), (5488.4, 118.0), (5488.4, 80.0), (5488.4, 98.4), (5488.4, 152.4), (5488.0, 188.3), (5488.0, 124.6), (5488.0, 81.3), (5488.0, 94.2), (5488.0, 143.8), (5488.0, 197.7), (5488.0, 131.4), (5488.0, 85.5), (5488.0, 90.5), (5488.0, 135.6), (5488.0, 207.4), (5488.4, 138.6), (5488.4, 90.1)]",0,27.48
experienced,mario,Mario1-2,Enemy,0,0,223.21,0.079,"[(112.0, 208.0), (112.0, 226.4), (115.5, 280.4), (127.0, 353.8), (154.2, 368.0), (194.2, 368.0), (234.2, 368.0), (274.2, 368.0), (314.2, 368.0), (354.2, 368.0), (394.2, 368.0), (434.2, 368.0)]",0,1.53
