persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,bomberman,8,Bomb,8,0,-0.4,0.444,"[(48.0, 112.0), (62.9, 115.7), (77.9, 108.3), (92.8, 108.3), (107.7, 115.7), (115.2, 130.7), (115.2, 145.6), (115.2, 166.1), (122.7, 179.2), (137.6, 179.2), (158.1, 179.2), (174.9, 182.9), (174.9, 197.9), (173.1, 212.8), (174.9, 233.3), (161.9, 244.5), (161.9, 244.5), (161.9, 244.5), (146.9, 244.5), (124.5, 244.5), (109.6, 252.0), (109.6, 266.9), (109.6, 287.5), (105.9, 304.3), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (79.7, 308.0), (64.8, 308.0), (49.9, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0)]",0,9.32
experienced,bomberman,8,Bomb,1,0,-0.75,0.167,"[(48.0, 112.0), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 121.3), (49.9, 121.3), (49.9, 121.3), (49.9, 125.1), (46.1, 138.1), (44.3, 153.1), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 168.0), (44.3, 175.5), (44.3, 177.3), (44.3, 184.8), (44.3, 186.7), (44.3, 192.3), (44.3, 192.3), (44.3, 192.3), (44.3, 192.3)]",0,5.0
experienced,bomberman,8,Enemy,0,0,112.0,0.444,"[(48.0, 112.0), (62.9, 108.3), (77.9, 108.3), (92.8, 108.3), (107.7, 108.3), (122.7, 108.3), (137.6, 108.3), (152.5, 108.3), (167.5, 108.3), (182.4, 108.3), (197.3, 108.3), (212.3, 108.3), (227.2, 108.3), (242.1, 108.3), (257.1, 108.3), (272.0, 108.3), (286.9, 108.3), (301.9, 108.3)]",0,2.28
experienced,bomberman,8,Enemy,5,0,112.0,0.444,"[(48.0, 112.0), (62.9, 108.3), (77.9, 108.3), (92.8, 108.3), (107.7, 108.3), (122.7, 108.3), (137.6, 108.3), (152.5, 108.3), (167.5, 108.3), (182.4, 108.3), (197.3, 108.3), (212.3, 108.3), (227.2, 108.3), (242.1, 108.3), (257.1, 108.3), (272.0, 108.3), (286.9, 108.3), (301.9, 108.3)]",0,2.28
experienced,bomberman,8,Bomb,5,0,27.84,0.5,"[(48.0, 112.0), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (53.6, 108.3), (68.5, 108.3), (83.5, 108.3), (98.4, 108.3), (113.3, 108.3), (128.3, 108.3), (143.2, 108.3), (158.1, 108.3), (173.1, 108.3), (188.0, 108.3), (202.9, 108.3), (221.6, 115.7), (238.4, 108.3), (253.3, 108.3), (268.3, 115.7), (288.8, 115.7), (303.7, 121.3), (307.5, 128.8), (307.5, 128.8), (307.5, 128.8), (307.5, 128.8), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9)]",1,8.92
experienced,bomberman,8,Enemy,3,0,112.0,0.444,"[(48.0, 112.0), (62.9, 112.0), (77.9, 112.0), (92.8, 112.0), (107.7, 112.0), (122.7, 112.0), (137.6, 112.0), (152.5, 112.0), (167.5, 112.0), (182.4, 108.3), (197.3, 108.3), (212.3, 108.3), (227.2, 108.3), (242.1, 108.3), (257.1, 108.3), (272.0, 108.3), (290.7, 115.7)]",0,2.25
experienced,bomberman,8,Bomb,1,0,0.0,0.0,"[(48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0), (48.0, 112.0)]",0,2.5
experienced,bomberman,8,Enemy,0,0,112.0,0.444,"[(48.0, 112.0), (62.9, 112.0), (77.9, 112.0), (92.8, 112.0), (107.7, 112.0), (122.7, 112.0), (137.6, 112.0), (152.5, 112.0), (167.5, 112.0), (182.4, 108.3), (197.3, 112.0), (214.1, 115.7), (234.7, 115.7), (249.6, 115.7), (264.5, 115.7), (283.2, 115.7), (300.0, 115.7)]",0,2.2
experienced,bomberman,8,Bomb,5,0,-1.6,0.667,"[(48.0, 112.0), (62.9, 115.7), (77.9, 108.3), (92.8, 108.3), (107.7, 115.7), (115.2, 130.7), (115.2, 145.6), (115.2, 166.1), (122.7, 179.2), (137.6, 179.2), (158.1, 179.2), (174.9, 182.9), (174.9, 197.9), (173.1, 212.8), (173.1, 233.3), (184.3, 244.5), (199.2, 244.5), (217.9, 244.5), (236.5, 246.4), (244.0, 261.3), (244.0, 276.3), (244.0, 293.1), (251.5, 308.0), (247.7, 308.0), (236.5, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (214.1, 308.0), (202.9, 308.0), (188.0, 308.0), (173.1, 308.0), (161.9, 308.0), (154.4, 308.0), (139.5, 308.0), (124.5, 308.0), (109.6, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (83.5, 308.0), (83.5, 308.0), (83.5, 308.0), (68.5, 308.0), (53.6, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0)]",0,11.68
experienced,bomberman,8,Enemy,0,0,112.0,0.444,"[(48.0, 112.0), (62.9, 108.3), (77.9, 108.3), (92.8, 108.3), (107.7, 108.3), (122.7, 108.3), (137.6, 108.3), (152.5, 108.3), (167.5, 108.3), (182.4, 108.3), (197.3, 108.3), (212.3, 108.3), (227.2, 108.3), (242.1, 108.3), (257.1, 108.3), (272.0, 108.3), (286.9, 108.3), (301.9, 108.3)]",0,2.28
experienced,bomberman,8,Bomb,5,0,27.84,0.5,"[(48.0, 112.0), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (53.6, 108.3), (68.5, 108.3), (83.5, 108.3), (98.4, 108.3), (113.3, 108.3), (128.3, 108.3), (143.2, 108.3), (158.1, 108.3), (173.1, 108.3), (188.0, 108.3), (202.9, 108.3), (221.6, 115.7), (238.4, 108.3), (253.3, 108.3), (268.3, 115.7), (288.8, 115.7), (303.7, 121.3), (307.5, 128.8), (307.5, 128.8), (307.5, 128.8), (307.5, 128.8), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9)]",1,8.92
experienced,bomberman,8,Bomb,5,0,-1.6,0.667,"[(48.0, 112.0), (62.9, 115.7), (77.9, 108.3), (92.8, 108.3), (107.7, 115.7), (115.2, 130.7), (115.2, 145.6), (115.2, 166.1), (122.7, 179.2), (137.6, 179.2), (158.1, 179.2), (174.9, 182.9), (174.9, 197.9), (173.1, 212.8), (173.1, 233.3), (184.3, 244.5), (199.2, 244.5), (217.9, 244.5), (236.5, 246.4), (244.0, 261.3), (244.0, 276.3), (244.0, 293.1), (251.5, 308.0), (247.7, 308.0), (236.5, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (225.3, 308.0), (214.1, 308.0), (202.9, 308.0), (188.0, 308.0), (173.1, 308.0), (161.9, 308.0), (154.4, 308.0), (139.5, 308.0), (124.5, 308.0), (109.6, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (83.5, 308.0), (83.5, 308.0), (83.5, 308.0), (68.5, 308.0), (53.6, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0)]",0,11.68
experienced,bomberman,8,Bomb,8,0,-0.4,0.444,"[(48.0, 112.0), (62.9, 115.7), (77.9, 108.3), (92.8, 108.3), (107.7, 115.7), (115.2, 130.7), (115.2, 145.6), (115.2, 166.1), (122.7, 179.2), (137.6, 179.2), (158.1, 179.2), (174.9, 182.9), (174.9, 197.9), (173.1, 212.8), (174.9, 233.3), (161.9, 244.5), (161.9, 244.5), (161.9, 244.5), (146.9, 244.5), (124.5, 244.5), (109.6, 252.0), (109.6, 266.9), (109.6, 287.5), (105.9, 304.3), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (94.7, 308.0), (79.7, 308.0), (64.8, 308.0), (49.9, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0), (44.3, 308.0)]",0,9.32
experienced,bomberman,8,Bomb,1,0,-0.75,0.167,"[(48.0, 112.0), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 113.9), (49.9, 121.3), (49.9, 121.3), (49.9, 121.3), (49.9, 125.1), (46.1, 138.1), (44.3, 153.1), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 168.0), (44.3, 175.5), (44.3, 177.3), (44.3, 184.8), (44.3, 186.7), (44.3, 192.3), (44.3, 192.3), (44.3, 192.3), (44.3, 192.3)]",0,5.0
experienced,bomberman,8,Stuck,0,0,-0.75,0.0,"[(48.0, 112.0), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3)]",0,5.0
experienced,bomberman,8,Bomb,2,0,-0.58,0.0,"[(48.0, 112.0), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3), (44.3, 108.3)]",0,6.42
experienced,bomberman,8,Bomb,1,0,18.67,0.111,"[(48.0, 112.0), (44.3, 108.3), (44.3, 108.3), (48.0, 108.3), (55.5, 108.3), (70.4, 108.3), (72.3, 108.3), (72.3, 108.3), (72.3, 108.3), (72.3, 108.3), (72.3, 108.3), (72.3, 108.3), (72.3, 108.3), (79.7, 108.3), (94.7, 108.3), (94.7, 108.3), (94.7, 108.3), (94.7, 108.3), (94.7, 108.3)]",0,2.5
experienced,bomberman,8,Bomb,1,0,-0.75,0.111,"[(48.0, 112.0), (49.9, 126.9), (49.9, 141.9), (49.9, 156.8), (49.9, 160.5), (49.9, 160.5), (49.9, 160.5), (49.9, 160.5), (49.9, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 160.5), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 162.4), (44.3, 168.0), (44.3, 168.0), (44.3, 177.3), (44.3, 177.3), (44.3, 177.3), (44.3, 182.9), (44.3, 184.8), (44.3, 184.8), (44.3, 184.8), (44.3, 184.8)]",0,5.0
experienced,bomberman,8,Enemy,1,0,112.0,0.444,"[(48.0, 112.0), (62.9, 115.7), (77.9, 108.3), (92.8, 108.3), (107.7, 108.3), (122.7, 115.7), (137.6, 108.3), (152.5, 108.3), (167.5, 108.3), (182.4, 108.3), (197.3, 112.0), (212.3, 108.3), (227.2, 108.3), (242.1, 108.3), (257.1, 108.3), (272.0, 108.3), (286.9, 108.3), (301.9, 108.3)]",0,2.28
experienced,bomberman,8,Enemy,7,0,42.93,0.5,"[(48.0, 112.0), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (55.5, 108.3), (70.4, 108.3), (85.3, 108.3), (100.3, 108.3), (115.2, 108.3), (130.1, 108.3), (145.1, 108.3), (160.0, 108.3), (174.9, 108.3), (189.9, 108.3), (204.8, 108.3), (223.5, 115.7), (238.4, 108.3), (253.3, 108.3), (268.3, 115.7), (288.8, 115.7), (303.7, 121.3), (307.5, 128.8), (307.5, 117.6), (320.5, 115.7), (335.5, 113.9)]",0,6.78
experienced,bomberman,8,Bomb,5,0,27.84,0.5,"[(48.0, 112.0), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (53.6, 108.3), (68.5, 108.3), (83.5, 108.3), (98.4, 108.3), (113.3, 108.3), (128.3, 108.3), (143.2, 108.3), (158.1, 108.3), (173.1, 108.3), (188.0, 108.3), (202.9, 108.3), (221.6, 115.7), (238.4, 108.3), (253.3, 108.3), (268.3, 115.7), (288.8, 115.7), (303.7, 121.3), (307.5, 128.8), (307.5, 128.8), (307.5, 128.8), (307.5, 128.8), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9), (307.5, 126.9)]",1,8.92
experienced,bomberman,8,Enemy,7,0,42.93,0.5,"[(48.0, 112.0), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (48.0, 108.3), (55.5, 108.3), (70.4, 108.3), (85.3, 108.3), (100.3, 108.3), (115.2, 108.3), (130.1, 108.3), (145.1, 108.3), (160.0, 108.3), (174.9, 108.3), (189.9, 108.3), (204.8, 108.3), (223.5, 115.7), (238.4, 108.3), (253.3, 108.3), (268.3, 115.7), (288.8, 115.7), (303.7, 121.3), (307.5, 128.8), (307.5, 117.6), (320.5, 115.7), (335.5, 113.9)]",0,6.78
