persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,mario,Mario1-2,Success,8,0,313.16,0.947,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (179.1, 314.5), (207.2, 260.9), (232.9, 228.5), (265.6, 219.2), (302.2, 240.0), (335.9, 187.5), (366.1, 135.9), (392.4, 105.7), (423.8, 98.7), (462.8, 123.1), (505.7, 182.9), (555.6, 256.2), (608.4, 329.5), (625.9, 274.6), (635.5, 223.6), (653.2, 194.1), (679.0, 187.9), (712.9, 213.1), (752.0, 273.6), (752.0, 346.9), (752.0, 322.6), (752.0, 266.4), (753.3, 231.5), (761.9, 219.7), (778.5, 236.4), (803.0, 178.6), (830.7, 127.6), (858.8, 98.1), (892.1, 91.9), (932.3, 117.1), (975.5, 177.6), (1026.3, 171.0), (1075.5, 112.3), (1120.4, 80.4), (1169.3, 103.2), (1222.7, 161.6), (1264.1, 234.9), (1264.1, 308.3), (1270.1, 358.3), (1286.8, 304.3), (1311.5, 325.3), (1344.8, 358.3), (1381.9, 304.3), (1421.4, 325.3), (1469.3, 358.3), (1520.4, 304.3), (1569.9, 325.3), (1619.6, 340.1), (1666.0, 313.8), (1708.0, 311.2), (1712.4, 341.2), (1718.4, 368.0), (1754.8, 368.0), (1808.2, 368.3), (1861.4, 306.6), (1914.8, 317.0), (1968.0, 350.3), (2021.4, 318.2), (2072.8, 309.2), (2121.7, 330.3), (2174.8, 348.9), (2225.7, 305.1), (2277.9, 330.4), (2331.2, 348.9), (2381.4, 305.1), (2429.2, 330.4), (2482.1, 348.9), (2532.9, 305.1), (2586.1, 330.4), (2638.8, 347.9), (2687.4, 321.6), (2734.5, 319.0), (2787.4, 349.0), (2840.0, 322.6), (2888.6, 272.0), (2935.7, 289.5), (2988.6, 342.5), (3041.2, 322.6), (3089.8, 266.4), (3138.1, 231.3), (3191.4, 219.1), (3244.7, 235.5), (3298.0, 252.0), (3348.8, 188.2), (3402.0, 144.9), (3455.4, 124.1), (3508.7, 128.3), (3562.0, 166.9), (3615.4, 236.2), (3668.7, 304.0), (3720.1, 235.1), (3771.9, 186.6), (3825.3, 160.0), (3878.5, 157.1), (3931.9, 186.8), (3985.2, 250.8), (4038.5, 324.1), (4091.6, 339.8), (4141.4, 278.6), (4188.0, 237.9), (4232.2, 220.0), (4280.3, 228.1), (4333.2, 203.0), (4382.3, 144.3), (4430.2, 106.4), (4483.2, 91.4), (4536.5, 103.5), (4589.9, 151.0), (4643.2, 223.4), (4695.5, 186.5), (4743.6, 132.9), (4792.6, 100.5), (4846.0, 91.2), (4899.3, 112.0), (4952.6, 168.4), (5006.0, 218.3), (5056.8, 152.0), (5105.4, 106.0), (5158.4, 82.3), (5211.7, 90.5), (5265.1, 135.6), (5318.4, 207.4)]",0,0,16.78
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Enemy,13,2,136.24,0.303,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 315.4), (220.9, 265.3), (269.0, 237.1), (322.2, 232.2), (372.2, 240.4), (393.3, 240.4), (403.2, 240.4), (414.7, 240.4), (425.6, 240.4), (436.1, 240.4), (445.9, 240.4), (453.2, 240.4), (454.7, 240.4), (456.2, 240.4), (457.7, 240.4), (459.2, 240.4), (460.8, 240.4), (462.3, 240.4), (463.8, 240.4), (465.3, 240.4), (466.8, 240.4), (468.3, 240.4), (469.8, 240.4), (471.3, 240.4), (472.8, 240.4), (474.4, 240.4), (475.9, 240.4), (477.4, 240.4), (478.9, 240.4), (480.4, 240.4), (481.9, 240.4), (483.4, 240.4), (484.9, 240.4), (486.4, 240.4), (488.0, 240.4), (489.5, 240.4), (491.0, 240.4), (492.5, 240.4), (494.0, 240.4), (495.5, 240.4), (499.4, 247.4), (511.7, 288.0), (532.1, 358.3), (562.9, 315.4), (602.5, 265.4), (650.3, 238.6), (703.5, 235.4), (752.0, 264.9), (752.0, 328.7), (752.1, 340.1), (752.1, 281.4), (752.1, 245.9), (757.7, 233.5), (772.1, 220.9), (796.9, 157.4), (829.7, 116.4), (870.7, 98.3), (919.7, 106.3), (973.1, 149.2), (1026.4, 220.3), (1079.7, 252.9), (1133.1, 189.5), (1186.4, 146.5), (1239.7, 126.1), (1293.1, 130.6), (1346.4, 169.6), (1399.7, 116.5), (1453.1, 81.1), (1506.4, 107.4), (1559.7, 168.8), (1613.1, 242.1), (1648.4, 315.4), (1655.7, 349.0), (1673.4, 305.1), (1699.2, 330.9), (1712.0, 325.1), (1712.0, 304.5), (1712.0, 309.0), (1712.0, 347.9), (1719.1, 368.0), (1718.7, 368.0), (1718.3, 368.0), (1717.9, 368.0), (1717.5, 368.0), (1717.1, 368.0)]",0,0,11.83
speedrunner,mario,Mario1-2,Enemy,1,3,285.22,0.292,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.0, 333.5), (752.4, 331.0), (752.0, 272.3), (752.4, 234.4), (759.0, 219.4), (773.6, 231.5), (798.6, 186.5), (832.5, 132.9), (874.5, 100.5), (924.5, 91.3), (977.8, 112.1), (1031.2, 168.5), (1084.5, 241.8), (1137.8, 294.3), (1191.2, 228.0), (1244.5, 182.0), (1297.8, 158.3), (1351.2, 158.9), (1404.5, 147.8), (1457.8, 86.6), (1511.2, 89.8), (1564.5, 133.9), (1617.8, 205.4), (1648.0, 278.8), (1652.4, 352.1)]",0,0,5.4
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Stuck,10,3,144.39,0.347,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (180.2, 314.5), (211.5, 260.9), (239.6, 228.5), (273.8, 219.2), (309.0, 240.0), (347.8, 195.0), (385.6, 140.9), (419.2, 107.8), (456.7, 97.7), (502.3, 117.8), (554.8, 173.3), (608.1, 246.7), (661.5, 294.3), (713.4, 228.0), (765.4, 182.0), (818.8, 158.3), (872.1, 158.9), (925.4, 193.0), (978.1, 162.6), (1026.7, 106.4), (1071.4, 81.3), (1121.3, 108.6), (1174.7, 170.8), (1228.0, 244.1), (1264.4, 317.4), (1271.0, 333.7), (1285.6, 310.3), (1308.4, 311.1), (1339.2, 345.6), (1378.5, 331.0), (1417.4, 272.3), (1424.4, 240.4), (1424.4, 263.2), (1424.4, 321.6), (1432.1, 368.0), (1455.8, 304.0), (1487.7, 320.9), (1527.6, 368.0), (1573.2, 299.1), (1614.5, 250.6), (1648.1, 224.0), (1648.1, 221.1), (1648.1, 250.8), (1648.1, 314.8), (1653.7, 331.0), (1667.3, 307.6), (1689.1, 308.4), (1712.1, 342.9), (1712.4, 331.0), (1712.4, 272.3), (1712.4, 235.2), (1719.0, 221.2), (1733.6, 234.4), (1758.6, 186.5), (1792.5, 144.3), (1834.5, 166.2), (1884.5, 223.6), (1936.8, 186.5), (1968.4, 144.3), (1968.4, 166.2), (1968.4, 223.6), (1968.0, 186.5), (1968.0, 144.3), (1968.0, 166.2), (1968.0, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2), (1968.1, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2), (1968.1, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2), (1968.1, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2), (1968.1, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2), (1968.1, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2), (1968.1, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2), (1968.1, 223.6), (1968.1, 186.5), (1968.1, 144.3), (1968.1, 166.2)]",0,0,13.27
speedrunner,mario,Mario1-2,Pit,2,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Enemy,5,0,150.73,0.074,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (178.1, 314.5), (203.1, 260.9), (224.3, 228.5), (250.7, 219.2), (284.5, 240.0), (303.9, 296.4), (307.0, 368.0), (322.1, 314.5), (334.5, 313.6), (342.4, 356.0), (357.9, 368.0), (403.7, 368.0)]",0,0,2.05
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Enemy,8,2,247.82,0.35,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (180.2, 314.5), (211.5, 260.9), (239.0, 228.5), (271.6, 219.2), (306.9, 240.0), (339.3, 179.6), (367.9, 130.6), (393.3, 103.1), (424.7, 99.4), (463.1, 128.3), (504.5, 191.7), (552.0, 265.0), (603.0, 336.0), (625.3, 267.1), (633.9, 218.6), (650.5, 192.0), (675.3, 189.1), (708.2, 218.8), (749.5, 262.3), (755.5, 197.2), (767.2, 154.0), (786.9, 133.1), (814.7, 137.2), (850.6, 175.7), (894.6, 244.9), (944.0, 227.0), (948.5, 172.3), (961.2, 139.2), (981.9, 129.1), (1010.7, 149.1), (1047.6, 204.7), (1092.6, 278.0), (1144.2, 258.6), (1196.8, 202.4), (1250.2, 167.3), (1303.5, 155.1), (1356.8, 171.5), (1408.7, 114.7), (1458.2, 81.1), (1511.2, 107.4), (1564.5, 168.8), (1617.9, 242.1), (1648.8, 315.4), (1656.3, 331.7), (1672.0, 308.3), (1694.6, 309.1), (1712.4, 343.6), (1718.4, 368.0), (1754.8, 368.0), (1808.2, 368.3), (1861.4, 306.6), (1914.8, 317.0), (1968.1, 363.8)]",0,0,7.52
